id,country,AIDS_adult_prevalence
159,Swaziland,26.5
142,Lesotho,23.1
48,Botswana,23
25,South Africa,17.9
61,Zimbabwe,14.7
34,Namibia,13.3
39,Zambia,12.7
35,Mozambique,11.1
100,Malawi,10.8
81,Uganda,7.2
146,Equatorial Guinea,6.2
49,Kenya,6.1
31,Tanzania,5.1
45,Central African Republic,4.7
54,Cameroon,4.5
77,Gabon,4
138,Guinea-Bissau,3.9
161,"Bahamas, The",3.3
69,Cote d'Ivoire,3.2
32,Nigeria,3.1
126,Togo,2.9
149,Rwanda,2.9
64,"Congo, Republic of the",2.8
42,South Sudan,2.7
21,Chad,2.7
23,Angola,2.3
148,Haiti,2.1
79,Guinea,1.7
168,Jamaica,1.7
174,Trinidad and Tobago,1.6
119,Sierra Leone,1.5
152,Belize,1.4
82,Ghana,1.4
27,Ethiopia,1.3
167,"Gambia, The",1.3
147,Burundi,1.3
85,Guyana,1.3
133,Estonia,1.2
151,Djibouti,1.2
181,Mauritius,1.2
16,Sudan,1.1
92,Suriname,1.1
51,Thailand,1.1
11,"Congo, Democratic Republic of the",1.1
102,Benin,1.1
185,Sao Tome and Principe,1
1,Russia,1
75,Burkina Faso,1
202,Barbados,0.9
24,Mali,0.9
104,Liberia,0.9
46,Ukraine,0.9
90,Cambodia,0.8
132,Dominican Republic,0.7
101,Eritrea,0.7
107,Guatemala,0.7
118,Panama,0.7
124,Latvia,0.7
140,Moldova,0.7
91,Uruguay,0.7
40,Burma,0.6
74,Ecuador,0.6
111,Portugal,0.6
3,United States,0.6
33,Venezuela,0.6
153,El Salvador,0.6
26,Colombia,0.5
88,Senegal,0.5
44,Somalia,0.5
103,Honduras,0.5
22,Niger,0.5
55,Papua New Guinea,0.5
47,Madagascar,0.5
15,Indonesia,0.4
8,Argentina,0.4
86,Belarus,0.4
38,Chile,0.4
43,France,0.4
20,Peru,0.4
136,Switzerland,0.4
66,Vietnam,0.4
67,Malaysia,0.4
29,Mauritania,0.4
52,Spain,0.4
108,Iceland,0.3
60,Paraguay,0.3
72,Italy,0.3
114,Austria,0.3
232,Bermuda,0.3
28,Bolivia,0.3
2,Canada,0.3
130,Costa Rica,0.3
121,Georgia,0.3
96,Tajikistan,0.3
87,Kyrgyzstan,0.3
84,Laos,0.3
17,Libya,0.3
179,Luxembourg,0.3
94,Nepal,0.3
98,Nicaragua,0.3
7,India,0.3
18,Iran,0.2
135,Netherlands,0.2
154,Israel,0.2
143,Armenia,0.2
113,Azerbaijan,0.2
188,Bahrain,0.2
141,Belgium,0.2
137,Bhutan,0.2
176,Cabo Verde,0.2
134,Denmark,0.2
157,Fiji,0.2
115,United Arab Emirates,0.2
80,United Kingdom,0.2
14,Mexico,0.2
120,Ireland,0.2
184,Hong Kong,0.1
110,Hungary,0.1
59,Iraq,0.1
62,Japan,0.1
166,Qatar,0.1
83,Romania,0.1
41,Afghanistan,0.1
10,Algeria,0.1
6,Australia,0.1
95,Bangladesh,0.1
129,Bosnia and Herzegovina,0.1
173,Brunei,0.1
105,Bulgaria,0.1
4,China,0.1
180,Comoros,0.1
127,Croatia,0.1
106,Cuba,0.1
171,Cyprus,0.1
116,Czech Republic,0.1
30,Egypt,0.1
65,Finland,0.1
63,Germany,0.1
97,Greece,0.1
117,Serbia,0.1
192,Singapore,0.1
131,Slovakia,0.1
155,Slovenia,0.1
122,Sri Lanka,0.1
56,Sweden,0.1
89,Syria,0.1
93,Tunisia,0.1
37,Turkey,0.1
53,Turkmenistan,0.1
57,Uzbekistan,0.1
50,Yemen,0.1
112,Jordan,0.1
9,Kazakhstan,0.1
109,"Korea, South",0.1
158,Kuwait,0.1
170,Lebanon,0.1
123,Lithuania,0.1
150,Macedonia,0.1
210,Maldives,0.1
208,Malta,0.1
19,Mongolia,0.1
58,Morocco,0.1
76,New Zealand,0.1
68,Norway,0.1
71,Oman,0.1
36,Pakistan,0.1
73,Philippines,0.1
70,Poland,0.1
13,Saudi Arabia,0.01
125,Svalbard,0
